sample;samplename_field;Individual;Individual_ID;replicate_ID;site;elevation;elevation_adj;altitudinal_level;habitat;treeline;Fieldcontrol;plate;sampletype;extract_blank;site_elevation;pH;C_oxid;OM;P_brayll;Ca;Mg;K;Al;CICe;Fe;Mn;Cu;Zn;B;S;N_total;N_NH4;N_NO3
E_2_12_P2;;;;;;;;;;;;P2;E;E_2_12;;;;;;;;;;;;;;;;;;;
S_1_3_P2;BEL_2_IV_A;4;BEL_2_4;BEL_2_4_a;BEL;2950;3000;2;forest;below;S_S2_2;P2;S;E_1_7;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
S_1_5_P2;BEL_2_V_A;5;BEL_2_5;BEL_2_5_a;BEL;2950;3000;2;forest;below;S_S2_2;P2;S;E_1_7;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
S_1_6_P2;BEL_2_IV_B;4;BEL_2_4;BEL_2_4_b;BEL;2950;3000;2;forest;below;S_S2_2;P2;S;E_1_7;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
S_2_2_P2;BEL_2_II_B;2;BEL_2_2;BEL_2_2_b;BEL;2950;3000;2;forest;below;S_S2_2;P2;S;E_2_12;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
S_2_6_P2;BEL_1_II_A;2;BEL_1_2;BEL_1_2_a;BEL;3200;3300;1;subparamo;above;S_S2_1;P2;S;E_2_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
E_3_12_P2;;;;;;;;;;;;P2;E;E_3_12;;;;;;;;;;;;;;;;;;;
S_2_11_P2;BEL_1_II_B;2;BEL_1_2;BEL_1_2_b;BEL;3200;3300;1;subparamo;above;S_S2_1;P2;S;E_2_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
T_T14_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
E_4_12_P2;;;;;;;;;;;;P2;E;E_4_12;;;;;;;;;;;;;;;;;;;
S_3_1_P2;BEL_1_III_B;3;BEL_1_3;BEL_1_3_b;BEL;3200;3300;1;subparamo;above;S_S2_1;P2;S;E_3_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
P_PC2_1_P2;;;;;;;;;;;;P2;P;E_BC;;;;;;;;;;;;;;;;;;;
S_3_5_P2;BEL_3_II_A;2;BEL_3_2;BEL_3_2_a;BEL;2700;2700;3;forest;below;S_S2_3;P2;S;E_3_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
S_3_6_P2;BEL_3_III_A;3;BEL_3_3;BEL_3_3_a;BEL;2700;2700;3;forest;below;S_S2_3;P2;S;E_3_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
S_3_7_P2;BEL_3_IV_A;4;BEL_3_4;BEL_3_4_a;BEL;2700;2700;3;forest;below;S_S2_3;P2;S;E_3_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
S_3_9_P2;BEL_3_I_B;1;BEL_3_1;BEL_3_1_b;BEL;2700;2700;3;forest;below;S_S2_3;P2;S;E_3_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
